repository_language,type,active_repos_by_url,events,year,quarter
VCL,ForkEvent,14,61,2014,4
PureBasic,PushEvent,5,23,2014,4
Nu,PushEvent,13,71,2014,4
Agda,IssuesEvent,12,23,2014,4
Glyph,PushEvent,8,61,2014,4
AutoHotkey,IssuesEvent,44,193,2014,4
Self,WatchEvent,2,11,2014,4
Scheme,IssuesEvent,122,314,2014,4
SAS,ForkEvent,25,38,2014,4
ANTLR,ForkEvent,7,45,2014,4
Hy,WatchEvent,19,54,2014,4
Xtend,IssuesEvent,15,66,2014,4
Bison,IssuesEvent,5,43,2014,4
Chapel,ForkEvent,2,6,2014,4
Kotlin,IssuesEvent,27,115,2014,4
Logos,IssuesEvent,42,113,2014,4
nesC,IssuesEvent,13,62,2014,4
BlitzMax,PushEvent,21,210,2014,4
Ox,PushEvent,3,61,2014,4
M,WatchEvent,49,94,2014,4
NetLogo,WatchEvent,6,7,2014,4
Vala,ForkEvent,83,178,2014,4
Nemerle,IssuesEvent,4,12355,2014,4
OpenEdge ABL,IssuesEvent,16,96,2014,4
Game Maker Language,WatchEvent,28,153,2014,4
Augeas,PushEvent,17,111,2014,4
Objective-C++,IssuesEvent,57,216,2014,4
LSL,PushEvent,36,389,2014,4
SystemVerilog,IssuesEvent,8,35,2014,4
SuperCollider,IssuesEvent,10,45,2014,4
Objective-J,ForkEvent,27,40,2014,4
SQL,ForkEvent,42,70,2014,4
VCL,IssuesEvent,8,11,2014,4
PAWN,IssuesEvent,9,80,2014,4
Volt,PushEvent,10,19,2014,4
TeX,CreateEvent,75,75,2014,4
Factor,WatchEvent,8,45,2014,4
AppleScript,ForkEvent,61,113,2014,4
Fancy,WatchEvent,1,10,2014,4
Cycript,WatchEvent,2,13,2014,4
PigLatin,WatchEvent,19,29,2014,4
Objective-J,IssuesEvent,9,129,2014,4
Dylan,PushEvent,22,144,2014,4
Nimrod,ForkEvent,96,167,2014,4
Dylan,WatchEvent,14,26,2014,4
Scilab,IssuesEvent,4,37,2014,4
Frege,IssuesEvent,3,17,2014,4
Ecl,ForkEvent,1,3,2014,4
Inform 7,IssuesEvent,3,22,2014,4
Eiffel,ForkEvent,15,23,2014,4
Ada,WatchEvent,35,53,2014,4
Max,IssuesEvent,21,120,2014,4
Grace,IssuesEvent,1,12,2014,4
Racket,IssuesEvent,69,190,2014,4
AutoIt,WatchEvent,35,108,2014,4
Slash,WatchEvent,6,24,2014,4
Brightscript,ForkEvent,12,35,2014,4
CoffeeScript,CreateEvent,22,22,2014,4
Mercury,WatchEvent,23,110,2014,4
Eiffel,WatchEvent,15,18,2014,4
SuperCollider,WatchEvent,31,43,2014,4
Parrot,IssuesEvent,4,29,2014,4
LoomScript,PushEvent,5,93,2014,4
Arduino,CreateEvent,29,29,2014,4
Pure Data,ForkEvent,29,46,2014,4
LSL,ForkEvent,5,28,2014,4
Stata,IssuesEvent,17,78,2014,4
Squirrel,WatchEvent,38,78,2014,4
ABAP,WatchEvent,14,30,2014,4
LabVIEW,ForkEvent,15,30,2014,4
Chapel,WatchEvent,5,12,2014,4
J,PushEvent,19,178,2014,4
Nemerle,ForkEvent,7,18,2014,4
Awk,ForkEvent,21,32,2014,4
SuperCollider,ForkEvent,15,19,2014,4
Augeas,WatchEvent,5,15,2014,4
Slash,PushEvent,16,99,2014,4
VHDL,ForkEvent,116,151,2014,4
Max,ForkEvent,47,64,2014,4
Perl6,IssuesEvent,26,57,2014,4
SQL,IssuesEvent,11,34,2014,4
VimL,CreateEvent,26,26,2014,4
Zimpl,PushEvent,2,5,2014,4
Go,CreateEvent,10,10,2014,4
SystemVerilog,ForkEvent,21,29,2014,4
Racket,CreateEvent,13,13,2014,4
Rebol,WatchEvent,14,23,2014,4
Golo,PushEvent,5,54,2014,4
Ada,IssuesEvent,2,7,2014,4
Golo,WatchEvent,1,2,2014,4
BitBake,WatchEvent,6,10,2014,4
Delphi,ForkEvent,44,59,2014,4
EmberScript,ForkEvent,5,6,2014,4
Propeller Spin,WatchEvent,9,31,2014,4
Shen,PushEvent,2,58,2014,4
SAS,IssuesEvent,10,97,2014,4
Xojo,WatchEvent,8,11,2014,4
OpenSCAD,IssuesEvent,17,55,2014,4
SystemVerilog,WatchEvent,18,31,2014,4
M,IssuesEvent,21,98,2014,4
Mirah,PushEvent,6,69,2014,4
Augeas,ForkEvent,7,27,2014,4
XProc,WatchEvent,1,5,2014,4
Clean,WatchEvent,6,10,2014,4
PAWN,ForkEvent,16,32,2014,4
PAWN,WatchEvent,15,37,2014,4
PogoScript,WatchEvent,6,9,2014,4
Xtend,WatchEvent,20,61,2014,4
Opa,WatchEvent,2,2,2014,4
Inform 7,ForkEvent,8,28,2014,4
eC,PushEvent,3,7,2014,4
Component Pascal,WatchEvent,8,15,2014,4
HaXe,ForkEvent,21,28,2014,4
Bro,IssuesEvent,1,2,2014,4
Cycript,ForkEvent,1,2,2014,4
JSONiq,IssuesEvent,2,30,2014,4
Agda,ForkEvent,14,36,2014,4
Ecl,PushEvent,13,38,2014,4
Inform 7,WatchEvent,8,17,2014,4
Self,PushEvent,4,25,2014,4
COBOL,WatchEvent,7,20,2014,4
COBOL,ForkEvent,5,18,2014,4
ATS,IssuesEvent,4,16,2014,4
Brightscript,WatchEvent,20,52,2014,4
Forth,IssuesEvent,4,13,2014,4
wisp,ForkEvent,1,3,2014,4
Delphi,IssuesEvent,6,12,2014,4
Standard ML,IssuesEvent,18,66,2014,4
Ceylon,ForkEvent,6,9,2014,4
Processing,CreateEvent,19,19,2014,4
Mirah,WatchEvent,5,27,2014,4
RobotFramework,ForkEvent,1,1,2014,4
Eiffel,IssuesEvent,8,38,2014,4
ATS,WatchEvent,6,26,2014,4
DCPU-16 ASM,ForkEvent,1,1,2014,4
Arc,ForkEvent,4,9,2014,4
Io,WatchEvent,11,19,2014,4
APL,PushEvent,4,14,2014,4
Rebol,ForkEvent,12,17,2014,4
Scilab,WatchEvent,11,17,2014,4
Logos,CreateEvent,3,3,2014,4
Grace,PushEvent,1,18,2014,4
Pike,WatchEvent,7,7,2014,4
Rebol,IssuesEvent,5,23,2014,4
GAP,IssuesEvent,16,43,2014,4
Crystal,ForkEvent,3,19,2014,4
Smalltalk,WatchEvent,43,61,2014,4
GAP,WatchEvent,11,29,2014,4
Augeas,IssuesEvent,3,21,2014,4
Zimpl,WatchEvent,3,3,2014,4
Zimpl,ForkEvent,4,4,2014,4
OpenSCAD,CreateEvent,6,6,2014,4
Pan,IssuesEvent,4,12,2014,4
UnrealScript,WatchEvent,9,9,2014,4
